3,48,[50  29  13  11  40  25  5  59  1  63  4  19  68  27  62  46  2  51  74  41  36  60  56  73  43  67  47  12  57  22  42  24  18  44  14  38  8  31  52  53  3  9  69  49  37  72  10  55]
4,48,[49  37  72  10  55  27  62  46  57  36  60  56  19  73  67  47  12  43  74  2  51  41  68  4  63  22  42  24  31  44  8  18  38  14  52  53  3  9  69  1  29  50  13  25  11  59  40  5]
7,48,[4  69  1  40  5  29  25  59  50  11  13  49  37  72  10  9  3  53  52  8  31  44  38  14  18  24  42  55  66  22  57  68  56  73  47  12  62  27  19  60  36  41  46  2  74  51  43  67]
12,48,[4  68  19  73  67  47  12  41  56  27  62  46  2  51  43  74  57  36  60  55  15  22  42  24  31  8  14  44  38  18  52  53  3  9  10  72  37  49  29  25  13  40  5  50  59  11  1  69]
14,48,[4  63  1  29  11  59  40  13  5  25  50  49  37  72  10  9  53  3  52  44  8  38  14  18  31  24  42  22  15  55  67  12  47  43  51  74  2  62  46  57  56  68  73  41  36  60  19  27]
17,48,[55  15  22  42  24  18  8  38  14  31  44  52  3  53  9  10  72  37  49  50  11  13  25  59  5  29  40  1  69  4  27  73  19  56  68  60  36  57  51  74  41  43  67  12  47  62  2  46]
20,48,[4  56  73  27  19  60  68  41  12  43  47  67  62  46  2  51  74  57  36  55  10  72  37  49  5  25  50  13  11  29  59  40  1  69  9  3  53  52  14  8  31  44  38  18  24  42  22  63]
21,48,[4  12  43  51  74  2  46  57  47  62  67  41  36  60  19  56  27  73  68  55  10  72  37  49  5  25  29  11  50  59  13  40  1  69  9  3  53  52  31  8  14  38  44  18  24  42  22  63]
26,48,[4  69  49  37  72  10  1  59  11  25  5  13  50  40  29  55  66  9  53  3  52  8  31  38  44  14  18  24  42  22  41  36  60  73  67  12  47  43  51  2  74  57  46  62  27  19  68  56]
30,48,[4  63  22  42  24  31  18  14  38  8  44  52  3  53  9  10  72  37  49  69  1  25  29  11  59  40  5  13  50  55  12  67  73  47  43  74  51  2  46  62  27  68  41  36  60  56  19  57]
34,48,[4  63  1  5  50  29  59  13  40  11  25  49  37  72  10  9  69  22  42  24  31  18  14  38  44  8  52  3  53  55  36  60  27  62  47  12  43  67  73  19  68  56  41  51  2  74  57  46]
37,48,[4  19  41  68  56  57  27  62  46  2  74  51  43  47  12  67  73  60  36  55  11  59  50  5  29  25  13  40  49  37  72  10  9  3  53  52  38  44  8  18  14  31  24  42  22  63  1  69]
