717
1,2
3,4
5,6
11,12
13,14
15,16
17,3
18,19
20,21
22,23
24,22
25,22
26,27
28,26
26,29
30,1
1,31
32,1
33,1
34,1
1,36
37,1
38,1
28,1
39,1
21,40
41,21
21,42
28,44
45,48
45,49
50,45
45,51
45,52
55,45
45,56
45,57
58,3
3,59
3,60
61,3
62,3
3,63
64,3
3,56
65,3
6,66
6,62
67,6
68,6
70,71
70,72
32,70
70,74
70,75
70,77
28,79
80,81
82,80
5,83
84,83
28,83
86,85
88,85
28,85
91,90
92,93
94,32
95,94
96,94
97,94
63,94
94,28
56,94
94,100
101,94
4,94
19,71
19,102
103,19
19,105
19,106
107,19
108,102
109,102
19,110
93,102
102,111
113,114
10,105
10,115
25,10
10,118
120,11
121,11
122,11
11,123
11,124
127,11
13,11
129,11
39,11
132,133
133,134
135,136
14,33
138,139
28,138
121,140
142,143
103,16
136,16
144,16
145,16
147,16
148,16
16,149
16,150
16,151
152,16
16,155
156,16
157,16
16,158
159,16
16,160
20,144
5,20
136,20
20,161
3,51
162,114
1,10
3,101
1,168
6,169
32,11
172,16
3,52
44,10
20,106
174,175
176,177
178,179
180,181
147,28
183,97
127,183
184,183
186,187
190,188
191,158
48,111
192,45
192,48
193,192
195,196
197,198
199,200
25,201
202,183
145,20
20,204
20,205
20,206
207,20
208,20
149,20
209,20
20,210
202,20
211,20
20,212
213,20
20,157
20,214
160,20
215,30
215,217
215,37
86,175
59,175
60,175
97,175
213,175
198,177
177,222
177,223
28,177
28,225
225,4
229,120
17,229
111,229
231,229
28,229
232,233
234,233
233,111
235,233
233,236
67,233
207,237
237,238
239,237
110,237
32,197
197,223
127,178
178,247
178,223
178,28
108,40
143,248
248,204
248,33
248,250
248,251
13,248
253,248
145,257
200,259
186,200
260,200
200,58
200,59
200,60
200,106
52,200
62,200
263,200
200,13
238,200
28,200
264,200
101,200
265,200
40,181
181,266
181,217
181,267
42,181
181,37
181,38
181,110
67,181
181,265
268,24
77,268
269,201
201,40
151,201
11,183
201,271
201,272
201,213
201,110
67,201
5,273
275,273
259,277
278,277
110,277
204,106
204,217
204,199
279,204
4,281
11,282
282,204
139,282
148,282
77,282
28,282
149,285
285,286
147,32
288,147
148,147
147,198
147,289
183,290
5,183
30,183
215,183
183,291
292,183
66,183
295,183
183,296
183,298
183,299
207,183
183,40
149,183
183,300
183,107
301,183
302,183
183,152
304,183
183,305
41,183
183,222
183,306
183,307
183,156
183,308
183,37
183,213
183,309
310,183
134,183
121,288
169,312
30,312
313,312
314,312
312,316
312,135
312,318
320,312
312,199
88,312
312,323
312,156
324,312
325,312
67,312
326,185
185,232
185,82
18,185
185,223
37,185
330,185
332,331
334,335
334,336
337,334
290,340
204,340
340,59
340,341
208,340
340,106
210,340
139,345
139,215
139,237
178,139
347,139
351,352
354,352
187,113
148,149
148,251
158,148
355,356
356,359
223,360
140,188
115,188
267,188
65,188
361,75
111,362
363,21
19,363
363,305
217,363
363,267
363,67
172,364
364,365
206,136
206,111
28,206
367,206
368,215
368,28
369,370
369,155
372,373
28,372
110,372
28,375
376,375
377,375
378,352
378,380
39,378
29,378
60,381
60,48
384,106
191,385
386,191
387,191
389,196
263,389
389,238
28,389
392,31
393,392
208,149
106,149
149,235
395,259
396,395
33,395
395,41
397,395
145,399
142,399
28,399
402,345
235,402
260,48
50,48
48,63
406,48
48,264
101,48
48,159
408,409
330,409
408,161
49,259
49,81
412,49
49,351
222,49
49,279
414,49
111,234
111,214
111,134
416,417
416,161
32,416
416,66
416,320
416,418
419,416
65,416
67,416
349,192
192,59
192,60
149,192
192,13
81,422
11,422
422,82
422,320
196,423
196,345
196,14
161,196
196,37
253,196
367,196
396,426
28,426
97,345
97,290
97,232
97,95
149,97
428,97
97,111
25,97
300,20
28,281
300,312
75,235
430,400
208,229
201,290
204,434
183,150
183,272
312,435
148,139
437,360
32,206
378,28
300,392
400,438
408,217
110,416
66,181
139,269
392,127
442,175
28,145
34,181
285,38
151,183
183,446
28,139
60,389
449,384
28,430
416,304
248,106
281,134
111,312
44,185
60,362
400,158
97,347
215,66
370,211
455,149
302,455
30,456
457,156
458,32
459,460
461,462
335,464
299,465
97,223
468,28
84,473
198,247
24,307
129,474
475,232
476,97
97,37
434,97
97,28
93,478
32,478
478,479
478,28
204,480
480,217
469,48
469,55
469,485
486,417
67,486
487,143
223,487
370,111
28,370
490,466
11,491
135,491
491,127
491,52
453,491
28,491
494,418
290,455
5,455
136,455
455,30
455,121
161,455
17,455
498,455
206,455
461,455
298,455
501,455
455,96
502,455
222,455
62,455
251,455
455,435
306,455
505,455
414,455
455,179
455,129
455,157
455,354
